VillagersAlive,MinFruitCollected,MaxFruitColllected,AvgFruitCollected,TotalFruitCollected,Gini
10,0,8,1,10,0.96
10,0,9,2,26,0.731
10,0,9,3,30,0.713
10,1,10,3,33,0.703
10,1,12,3,37,0.762
10,1,12,4,40,0.2
10,1,13,4,48,0.655
10,1,13,5,52,0.635
10,1,13,5,56,0.146
10,1,14,5,59,0.223
9,2,14,7,65,0.631
9,4,17,8,78,0.755
8,4,21,9,86,0.713
5,7,21,12,89,0.794
5,7,21,12,90,0.786
3,10,22,17,93,0.856
2,20,22,21,93,1
2,22,22,22,95,1
2,22,23,22,96,1
2,23,23,23,97,1
2,23,26,24,100,1
2,23,26,24,100,1
2,23,26,24,100,1
2,23,26,24,100,1
2,23,26,24,100,1
1,30,30,30,104,1
1,30,30,30,104,1
1,30,30,30,104,1
1,31,31,31,105,1